,source,destination,value
919,problem,navigation,1
920,navigation,navigation,1
921,navigation,navigation,1
922,navigation,navigation,1
923,navigation,problem,1
924,problem,problem,1
925,problem,problem,1
926,problem,problem,1
927,problem,problem,1
928,problem,problem,1
929,problem,problem,1
930,problem,problem,1
931,problem,navigation,1
932,navigation,navigation,1
933,navigation,navigation,1
934,navigation,navigation,1
935,navigation,problem,1
936,problem,problem,1
937,problem,problem,1
938,problem,problem,1
939,problem,problem,1
940,problem,problem,1
941,problem,problem,1
942,problem,problem,1
943,problem,navigation,1
944,navigation,navigation,1
945,enrollment,enrollment,1
946,enrollment,navigation,1
947,navigation,navigation,1
948,navigation,navigation,1
949,navigation,navigation,1
950,navigation,navigation,1
951,navigation,navigation,1
952,navigation,navigation,1
953,navigation,navigation,1
954,navigation,problem,1
955,problem,problem,1
956,problem,problem,1
957,problem,problem,1
958,problem,problem,1
959,problem,problem,1
960,problem,problem,1
961,problem,problem,1
962,problem,problem,1
963,problem,problem,1
964,problem,problem,1
965,problem,problem,1
966,problem,problem,1
967,problem,problem,1
968,problem,problem,1
969,problem,problem,1
970,problem,problem,1
971,problem,problem,1
972,problem,problem,1
973,problem,problem,1
974,problem,problem,1
975,problem,problem,1
976,problem,problem,1
977,problem,problem,1
978,problem,problem,1
979,problem,problem,1
980,problem,problem,1
981,problem,problem,1
982,problem,problem,1
983,problem,problem,1
984,problem,problem,1
985,problem,problem,1
986,problem,problem,1
987,problem,problem,1
988,problem,problem,1
989,problem,problem,1
990,problem,problem,1
991,problem,problem,1
992,problem,problem,1
993,problem,problem,1
994,problem,problem,1
995,problem,problem,1
996,problem,problem,1
997,problem,problem,1
998,problem,problem,1
999,problem,problem,1
1000,problem,problem,1
1001,problem,problem,1
1002,problem,navigation,1
1003,navigation,navigation,1
1004,navigation,problem,1
1005,problem,problem,1
1006,problem,problem,1
1007,problem,problem,1
1008,problem,problem,1
1009,problem,problem,1
1010,problem,problem,1
1011,problem,problem,1
1012,problem,problem,1
1013,problem,problem,1
1014,problem,problem,1
1015,problem,problem,1
1016,problem,problem,1
1017,problem,problem,1
1018,problem,problem,1
1019,problem,problem,1
1020,problem,problem,1
1021,problem,problem,1
1022,problem,problem,1
1023,problem,problem,1
1024,problem,problem,1
1025,problem,problem,1
1026,problem,problem,1
1027,problem,problem,1
1028,problem,problem,1
1029,problem,problem,1
1030,problem,problem,1
1031,problem,problem,1
1032,problem,navigation,1
1033,navigation,navigation,1
1034,navigation,problem,1
1035,problem,problem,1
1036,problem,problem,1
1037,problem,problem,1
1038,problem,navigation,1
1039,navigation,navigation,1
1040,navigation,problem,1
1041,problem,problem,1
1042,problem,problem,1
1043,problem,problem,1
1044,problem,problem,1
1045,problem,problem,1
1046,problem,problem,1
1047,problem,problem,1
1048,problem,problem,1
1049,problem,problem,1
1050,problem,problem,1
1051,problem,problem,1
1052,problem,problem,1
1053,problem,problem,1
1054,problem,problem,1
1055,problem,problem,1
1056,problem,problem,1
1057,problem,problem,1
1058,problem,navigation,1
1059,navigation,navigation,1
1060,navigation,problem,1
1061,problem,problem,1
1062,problem,problem,1
1063,problem,problem,1
1064,problem,problem,1
1065,problem,problem,1
1066,problem,navigation,1
1067,navigation,navigation,1
1068,navigation,navigation,1
1069,navigation,navigation,1
1070,enrollment,enrollment,1
1071,enrollment,navigation,1
1072,navigation,navigation,1
1073,navigation,navigation,1
1074,navigation,navigation,1
1075,navigation,problem,1
1076,problem,problem,1
1077,problem,problem,1
1078,problem,problem,1
1079,problem,problem,1
1080,problem,problem,1
1081,problem,problem,1
1082,problem,problem,1
1083,problem,problem,1
1084,problem,problem,1
1085,problem,problem,1
1086,problem,problem,1
1087,problem,problem,1
1088,problem,problem,1
1089,problem,problem,1
1090,problem,problem,1
1091,problem,problem,1
1092,problem,problem,1
1093,problem,problem,1
1094,problem,problem,1
1095,problem,problem,1
1096,problem,problem,1
1097,problem,problem,1
1098,problem,problem,1
1099,problem,problem,1
1100,problem,problem,1
1101,problem,problem,1
1102,problem,problem,1
1103,problem,problem,1
1104,problem,problem,1
1105,problem,problem,1
1106,problem,problem,1
1107,problem,problem,1
1108,problem,problem,1
1109,problem,problem,1
1110,problem,problem,1
1111,problem,problem,1
1112,problem,problem,1
1113,problem,problem,1
1114,problem,problem,1
1115,problem,problem,1
1116,problem,problem,1
1117,problem,problem,1
1118,problem,problem,1
1119,problem,problem,1
1120,problem,problem,1
1121,problem,navigation,1
1122,navigation,navigation,1
1123,navigation,problem,1
1124,problem,problem,1
1125,problem,problem,1
1126,problem,problem,1
1127,problem,problem,1
1128,problem,problem,1
1129,problem,problem,1
1130,problem,problem,1
1131,problem,problem,1
1132,problem,problem,1
1133,problem,problem,1
1134,problem,problem,1
1135,problem,problem,1
1136,problem,problem,1
1137,problem,problem,1
1138,problem,problem,1
1139,problem,problem,1
1140,problem,problem,1
1141,problem,problem,1
1142,problem,problem,1
1143,problem,problem,1
1144,problem,problem,1
1145,problem,problem,1
1146,problem,problem,1
1147,problem,problem,1
1148,problem,problem,1
1149,problem,problem,1
1150,problem,problem,1
1151,problem,problem,1
1152,problem,problem,1
1153,problem,problem,1
1154,problem,problem,1
1155,problem,problem,1
1156,problem,problem,1
1157,problem,problem,1
1158,problem,problem,1
1159,problem,problem,1
1160,problem,problem,1
1161,problem,problem,1
1162,problem,problem,1
1163,problem,problem,1
1164,problem,problem,1
1165,problem,problem,1
1166,problem,problem,1
1167,problem,problem,1
1168,problem,problem,1
1169,problem,problem,1
1170,problem,problem,1
1171,problem,navigation,1
1172,navigation,navigation,1
1173,navigation,problem,1
1174,problem,problem,1
1175,problem,problem,1
1176,problem,problem,1
1177,problem,problem,1
1178,problem,problem,1
1179,problem,problem,1
1180,problem,problem,1
1181,problem,problem,1
1182,problem,problem,1
1183,problem,problem,1
1184,problem,problem,1
1185,problem,problem,1
1186,problem,problem,1
1187,problem,problem,1
1188,problem,problem,1
1189,problem,problem,1
1190,problem,problem,1
1191,problem,problem,1
1192,problem,problem,1
1193,problem,problem,1
1194,problem,problem,1
1195,problem,problem,1
1196,problem,problem,1
1197,problem,problem,1
1198,problem,problem,1
1199,problem,problem,1
1200,problem,problem,1
1201,problem,problem,1
1202,problem,problem,1
1203,problem,problem,1
1204,problem,problem,1
1205,problem,problem,1
1206,problem,problem,1
1207,problem,problem,1
1208,problem,problem,1
1209,problem,problem,1
1210,problem,problem,1
1211,problem,navigation,1
1212,navigation,navigation,1
1213,navigation,navigation,1
1214,navigation,navigation,1
1215,navigation,problem,1
1216,problem,problem,1
1217,problem,problem,1
1218,problem,problem,1
1219,problem,problem,1
1220,problem,problem,1
1221,problem,problem,1
1222,problem,problem,1
1223,problem,navigation,1
1224,navigation,navigation,1
1225,navigation,problem,1
1226,problem,problem,1
1227,problem,problem,1
1228,problem,problem,1
1229,problem,problem,1
1230,problem,problem,1
1231,problem,problem,1
1232,problem,problem,1
1233,problem,problem,1
1234,problem,problem,1
1235,problem,problem,1
1236,problem,problem,1
1237,problem,problem,1
1238,problem,problem,1
1239,problem,problem,1
1240,problem,problem,1
1241,problem,problem,1
1242,problem,problem,1
1243,problem,problem,1
1244,problem,problem,1
1245,problem,navigation,1
1246,navigation,navigation,1
1247,navigation,problem,1
1248,problem,problem,1
1249,problem,problem,1
1250,problem,problem,1
1251,problem,problem,1
1252,problem,problem,1
1253,problem,problem,1
1254,problem,problem,1
1255,problem,problem,1
1256,problem,problem,1
1257,problem,problem,1
1258,problem,problem,1
1259,problem,problem,1
1260,problem,problem,1
1261,problem,problem,1
1262,problem,problem,1
1263,problem,problem,1
1264,problem,problem,1
1265,problem,problem,1
1266,problem,problem,1
1267,problem,problem,1
1268,problem,problem,1
1269,problem,problem,1
1270,problem,problem,1
1271,problem,navigation,1
1272,navigation,navigation,1
1273,navigation,problem,1
1274,problem,problem,1
1275,problem,problem,1
1276,problem,problem,1
1277,problem,navigation,1
1278,navigation,navigation,1
1279,navigation,problem,1
1280,problem,problem,1
1281,problem,problem,1
1282,problem,problem,1
1283,problem,problem,1
1284,problem,problem,1
1285,problem,problem,1
1286,problem,problem,1
1287,problem,navigation,1
1288,navigation,navigation,1
1289,navigation,problem,1
1290,problem,problem,1
1291,problem,problem,1
1292,problem,problem,1
1293,problem,problem,1
1294,problem,problem,1
1295,problem,navigation,1
1296,navigation,navigation,1
1297,navigation,navigation,1
1298,navigation,navigation,1
1299,navigation,problem,1
1300,problem,problem,1
1301,problem,problem,1
1302,problem,problem,1
1303,problem,problem,1
1304,problem,problem,1
1305,problem,navigation,1
1306,navigation,navigation,1
1307,navigation,problem,1
1308,problem,problem,1
1309,problem,problem,1
1310,problem,problem,1
1311,problem,problem,1
1312,problem,problem,1
1313,problem,problem,1
1314,problem,problem,1
1315,problem,navigation,1
1316,navigation,navigation,1
1317,navigation,problem,1
